Boldness,Meanness,Disinhibition,Gender,Age
38,22,17,1,18
19,11,19,2,18
32,10,16,2,18
19,4,20,2,18
31,17,22,2,18
36,11,13,2,18
14,6,8,2,18
23,6,9,2,18
33,10,15,2,18
32,15,15,2,18
37,30,28,1,18
36,15,13,1,18
27,11,4,2,18
34,17,19,1,18
39,14,24,2,18
44,8,9,2,18
31,18,35,1,18
24,30,26,2,18
45,38,21,1,18
14,10,20,1,18
42,10,11,1,18
23,12,15,2,18
13,12,14,1,18
12,29,18,2,18
51,19,14,2,18
28,20,12,1,18
12,30,19,1,18
12,20,22,2,18
51,33,20,2,18
30,14,10,1,18
19,18,19,2,18
0,14,20,2,18
38,30,21,1,18
20,15,13,1,18
43,37,41,1,18
33,13,14,2,18
38,41,45,1,18
18,4,6,2,18
43,21,13,1,18
48,48,29,1,18
26,32,13,1,18
34,12,30,1,18
26,24,9,2,18
39,19,19,2,18
22,34,30,2,18
38,23,2,1,18
26,10,9,1,18
52,31,11,2,18
26,3,12,1,18
35,10,13,1,18
22,12,10,2,18
21,9,18,1,18
42,19,13,1,18
31,9,7,2,18
22,17,13,2,18
15,33,29,2,18
22,10,10,2,18
30,39,38,1,18
55,54,59,1,18
42,29,20,2,18
10,15,30,2,18
33,21,19,1,18
42,46,18,2,18
30,22,13,2,19
20,28,31,1,19
33,13,30,2,19
29,15,32,2,19
34,10,4,2,19
34,17,14,2,19
31,10,9,2,19
17,15,12,2,19
24,10,10,1,19
32,13,9,1,19
27,9,10,2,19
33,17,14,2,19
32,16,16,2,19
45,48,29,1,19
26,12,20,2,19
21,7,14,1,19
38,34,20,1,19
35,9,4,2,19
25,13,21,2,19
23,7,6,2,19
30,17,19,2,19
29,9,8,2,19
40,20,14,1,19
28,3,15,2,19
31,5,4,2,19
40,18,17,2,19
29,4,10,2,19
19,5,9,2,19
25,8,15,2,19
17,6,12,2,19
27,10,4,2,19
40,17,25,2,19
12,4,10,2,19
27,7,14,2,19
22,14,17,1,19
39,19,20,2,19
38,27,34,2,19
35,23,30,2,19
26,15,13,2,19
26,18,13,2,19
35,16,27,2,19
31,9,10,2,19
28,14,28,2,19
38,14,7,2,19
25,18,16,2,19
25,14,19,2,19
41,20,23,2,19
40,16,12,1,19
25,16,21,2,19
21,6,11,2,19
42,23,23,2,19
27,28,4,2,19
29,7,30,2,19
23,20,11,1,19
33,15,27,1,19
43,15,24,1,19
37,2,16,2,19
20,5,16,2,19
38,42,15,1,19
52,31,18,1,19
47,29,29,1,19
45,33,22,2,19
